Brand,Model,Year,image_file,Total megapixels,Exposure Compensation,Normal focus range,Battery,Sensor resolution,Crop factor,Sensor type,Dimensions,Max aperture,Min. shutter speed,White balance presets,Macro focus range,Optical zoom,USB,Weight,Max. aperture (35mm equiv.),Focal length (35mm equiv.),Also known as,Aperture priority,Max. image resolution,Max. shutter speed,Storage types,Effective megapixels,Megapixels,Max. video resolution,Screen size,Metering,Digital zoom,Shutter priority,Sensor size,Viewfinder,Screen resolution,ISO
Acer,CP-8660,2006,data/images/acer_cp-8660.png,,±2 EV (in 1/3 EV steps),,Li-Ion,3302 x 2483,4.87,CCD,96 x 61 x 29 mm,f2.8 - f4.8,1 sec,6.0,2 cm,Yes,USB 2.0 (480 Mbit/sec),180 g,f13.6 - f23.4,37 - 222 mm,,No,3312 x 2488,1/1500 sec,Secure Digital,,8.2,,"2.8""",Centre weighted,Yes,No,"1/1.8"" (~ 7.11 x 5.33 mm)",,"230,000 dots","Auto, 64, 100, 200, 400"
Acer,CE-6430,2006,data/images/acer_ce-6430.png,,±2 EV (in 1/3 EV steps),40 cm,2x AA,2909 x 2187,6.02,CCD,88.5 x 60 x 28 mm,f2.8 - f4.8,1/2 sec,5.0,5 cm,Yes,USB 1.1,130 g,f16.9 - f28.9,34 - 102 mm,,No,2864 x 2152,1/1000 sec,Secure Digital,,6.36,,"2.36""",Centre weighted,Yes,No,"1/2.5"" (~ 5.75 x 4.32 mm)",,"110,000 dots","Auto, 64, 100, 200"
Acer,CS-5531,2006,data/images/acer_cs-5531.png,,±2 EV (in 1/2 EV steps),50 cm,Li-Ion,2579 x 1939,6.02,CCD,89 x 55 x 24 mm,f2.8 - f4.8,1/2 sec,6.0,6 cm,Yes,USB 1.1,180 g,f16.9 - f28.9,32 - 96 mm,,No,2560 x 1920,1/2000 sec,Secure Digital,,5.0,,"2.5""",Centre weighted,Yes,No,"1/2.5"" (~ 5.75 x 4.32 mm)",,"201,096 dots","Auto, 50, 100, 200"
Acer,CP-8531,2006,data/images/acer_cp-8531.png,,±2 EV (in 1/3 EV steps),50 cm,Li-Ion,3272 x 2460,4.87,CCD,91 x 57 x 27 mm,f2.8 - f4.8,1/2 sec,6.0,5 cm,Yes,USB 1.1,150 g,f13.6 - f23.4,36 - 108 mm,,No,3264 x 2448,1/1500 sec,Secure Digital,,8.05,,"2.5""","Multi-segment, Spot",Yes,No,"1/1.8"" (~ 7.11 x 5.33 mm)",Optical,"201,096 dots","Auto, 50, 100, 200, 400"
Acer,CL-5300,2006,data/images/acer_cl-5300.png,,±2 EV (in 1/3 EV steps),,2x AA,2579 x 1939,6.02,CCD,90 x 55 x 24 mm,f2.8,2 sec,5.0,,No,USB 1.1,85 g,f16.9,38 mm,,No,2592 x 1944,1/2000 sec,Secure Digital,,5.0,,"2""",Centre weighted,Yes,No,"1/2.5"" (~ 5.75 x 4.32 mm)",Optical,"153,000 dots","Auto, 50, 100, 200"
Acer,CE-5430,2006,data/images/acer_ce-5430.png,,±2 EV (in 1/3 EV steps),40 cm,2x AA,2579 x 1939,6.02,CCD,88.5 x 60 x 28 mm,f2.8 - f4.8,1/2 sec,5.0,5 cm,Yes,USB 1.1,130 g,f16.9 - f28.9,32 - 96 mm,,No,2592 x 1936,1/1000 sec,Secure Digital,,5.0,,"2.36""",Centre weighted,Yes,No,"1/2.5"" (~ 5.75 x 4.32 mm)",Optical,"110,000 dots","Auto, 64, 100, 200"
Acer,CU-6530,2006,data/images/acer_cu-6530.png,,±2 EV (in 1/3 EV steps),50 cm,Li-Ion,2862 x 2152,6.02,CCD,90 x 54 x 18 mm,f2.8 - f4.8,1/2 sec,6.0,6 cm,Yes,USB 2.0 (480 Mbit/sec),110 g,f16.9 - f28.9,32 - 96 mm,,No,2816 x 2112,1/1000 sec,Secure Digital,,6.16,,"2.5""","Centre weighted, Spot",Yes,No,"1/2.5"" (~ 5.75 x 4.32 mm)",,"230,400 dots","Auto, 50, 100, 200"
Acer,CE-5330,2005,data/images/acer_ce-5330.png,,±2 EV (in 1/3 EV steps),50 cm,2x AA,2579 x 1939,6.02,CCD,91 x 61 x 27 mm,f2.8 - f4.8,1/2 sec,5.0,6 cm,Yes,USB 2.0 (480 Mbit/sec),130 g,f16.9 - f28.9,32 - 96 mm,,No,2560 x 1920,1/1000 sec,Secure Digital,,5.0,,"2""","Centre weighted, Spot",Yes,No,"1/2.5"" (~ 5.75 x 4.32 mm)",Optical,"130,338 dots","Auto, 50, 100, 200"
Acer,CI-8330,2005,data/images/acer_ci-8330.png,,±2 EV (in 1/3 EV steps),50 cm,2x AA,3310 x 2489,4.87,CCD,91 x 61 x 31.5 mm,f2.8 - f4.8,1 sec,5.0,5 cm,,USB 2.0 (480 Mbit/sec),160 g,f13.6 - f23.4,35 - 105 mm,,No,3264 x 2448,1/1000 sec,Secure Digital,,8.24,,"2""","Centre weighted, Spot",Yes,No,"1/1.8"" (~ 7.11 x 5.33 mm)",Optical,"130,572 dots","Auto, 50, 100, 200"
Acer,CI-6530,2005,data/images/acer_ci-6530.png,,±2 EV (in 1/3 EV steps),50 cm,2x AA,2871 x 2159,4.87,CCD,91 x 61 x 31.5 mm,f2.8 - f4.8,1 sec,6.0,6 cm,Yes,USB 2.0 (480 Mbit/sec),160 g,f13.6 - f23.4,35 - 105 mm,,No,2816 x 2112,1/1000 sec,Secure Digital,,6.2,,"2""",Centre weighted,Yes,No,"1/1.8"" (~ 7.11 x 5.33 mm)",Optical,,"Auto, 50, 100, 200"
Acer,CS-5530,2005,data/images/acer_cs-5530.png,,"±2 EV (in 1/3 EV, 1/2 EV steps)",50 cm,Li-Ion,2579 x 1939,6.02,CCD,89 x 55 x 24 mm,f2.8 - f4.8,8 sec,6.0,6 cm,Yes,USB 2.0 (480 Mbit/sec),180 g,f16.9 - f28.9,32 - 96 mm,,No,2560 x 1920,1/1000 sec,Secure Digital,,5.0,,"2.5""","Matrix, Spot",Yes,No,"1/2.5"" (~ 5.75 x 4.32 mm)",,"201,096 dots","Auto, 50, 100, 200"
